Day,aapl
1/29/15,99
1/30/15,85
1/31/15,24
2/1/15,13
2/2/15,52
2/3/15,57
2/4/15,54
2/5/15,53
2/6/15,54
2/7/15,17
2/8/15,10
2/9/15,46
2/10/15,59
2/11/15,77
2/12/15,83
2/13/15,69
2/14/15,24
2/15/15,15
2/16/15,35
2/17/15,69
2/18/15,62
2/19/15,56
2/20/15,57
2/21/15,20
2/22/15,13
2/23/15,66
2/24/15,73
2/25/15,64
2/26/15,65
2/27/15,58
2/28/15,19
3/1/15,11
3/2/15,60
3/3/15,56
3/4/15,52
3/5/15,52
3/6/15,62
3/7/15,21
3/8/15,12
3/9/15,100
3/10/15,84
3/11/15,66
3/12/15,59
3/13/15,57
3/14/15,17
3/15/15,11
3/16/15,50
3/17/15,57
3/18/15,50
3/19/15,52
3/20/15,48
3/21/15,19
3/22/15,10
3/23/15,46
3/24/15,49
3/25/15,34
3/26/15,48
3/27/15,42
3/28/15,13
3/29/15,9
3/30/15,44
3/31/15,46
4/1/15,43
4/2/15,40
4/3/15,29
4/4/15,10
4/5/15,9
4/6/15,43
4/7/15,43
4/8/15,43
4/9/15,41
4/10/15,55
4/11/15,17
4/12/15,12
4/13/15,55
4/14/15,49
4/15/15,43
4/16/15,42
4/17/15,44
4/18/15,13
4/19/15,10
4/20/15,46
4/21/15,46
4/22/15,45
4/23/15,54
4/24/15,62
4/25/15,21
4/26/15,16
