Day,amzn
1/29/15,50
1/30/15,89
1/31/15,20
2/1/15,10
2/2/15,25
2/3/15,24
2/4/15,23
2/5/15,21
2/6/15,22
2/7/15,12
2/8/15,6
2/9/15,15
2/10/15,18
2/11/15,14
2/12/15,15
2/13/15,18
2/14/15,7
2/15/15,4
2/16/15,10
2/17/15,16
2/18/15,14
2/19/15,15
2/20/15,15
2/21/15,9
2/22/15,6
2/23/15,11
2/24/15,18
2/25/15,16
2/26/15,15
2/27/15,11
2/28/15,6
3/1/15,3
3/2/15,12
3/3/15,12
3/4/15,14
3/5/15,12
3/6/15,14
3/7/15,5
3/8/15,4
3/9/15,10
3/10/15,12
3/11/15,13
3/12/15,10
3/13/15,8
3/14/15,4
3/15/15,3
3/16/15,11
3/17/15,9
3/18/15,8
3/19/15,8
3/20/15,10
3/21/15,5
3/22/15,2
3/23/15,9
3/24/15,10
3/25/15,9
3/26/15,8
3/27/15,11
3/28/15,3
3/29/15,2
3/30/15,8
3/31/15,10
4/1/15,9
4/2/15,10
4/3/15,8
4/4/15,3
4/5/15,4
4/6/15,7
4/7/15,9
4/8/15,9
4/9/15,9
4/10/15,9
4/11/15,3
4/12/15,4
4/13/15,7
4/14/15,13
4/15/15,11
4/16/15,12
4/17/15,13
4/18/15,3
4/19/15,3
4/20/15,11
4/21/15,14
4/22/15,13
4/23/15,54
4/24/15,100
4/25/15,33
4/26/15,12
