Day,goog
1/29/15,93
1/30/15,100
1/31/15,82
2/1/15,83
2/2/15,88
2/3/15,94
2/4/15,92
2/5/15,91
2/6/15,93
2/7/15,85
2/8/15,81
2/9/15,92
2/10/15,88
2/11/15,92
2/12/15,89
2/13/15,89
2/14/15,84
2/15/15,82
2/16/15,85
2/17/15,86
2/18/15,88
2/19/15,87
2/20/15,91
2/21/15,81
2/22/15,84
2/23/15,93
2/24/15,94
2/25/15,93
2/26/15,92
2/27/15,93
2/28/15,83
3/1/15,83
3/2/15,95
3/3/15,94
3/4/15,91
3/5/15,89
3/6/15,89
3/7/15,83
3/8/15,87
3/9/15,91
3/10/15,91
3/11/15,89
3/12/15,94
3/13/15,89
3/14/15,84
3/15/15,83
3/16/15,95
3/17/15,96
3/18/15,94
3/19/15,92
3/20/15,91
3/21/15,84
3/22/15,80
3/23/15,90
3/24/15,92
3/25/15,77
3/26/15,89
3/27/15,87
3/28/15,78
3/29/15,80
3/30/15,86
3/31/15,87
4/1/15,90
4/2/15,86
4/3/15,80
4/4/15,78
4/5/15,79
4/6/15,84
4/7/15,84
4/8/15,85
4/9/15,86
4/10/15,83
4/11/15,80
4/12/15,76
4/13/15,90
4/14/15,89
4/15/15,92
4/16/15,89
4/17/15,88
4/18/15,84
4/19/15,77
4/20/15,91
4/21/15,89
4/22/15,92
4/23/15,95
4/24/15,95
4/25/15,80
4/26/15,75
