Day,msft
1/29/15,56
1/30/15,41
1/31/15,16
2/1/15,15
2/2/15,37
2/3/15,39
2/4/15,35
2/5/15,34
2/6/15,36
2/7/15,18
2/8/15,10
2/9/15,30
2/10/15,31
2/11/15,34
2/12/15,32
2/13/15,33
2/14/15,15
2/15/15,8
2/16/15,18
2/17/15,29
2/18/15,38
2/19/15,33
2/20/15,28
2/21/15,12
2/22/15,11
2/23/15,24
2/24/15,35
2/25/15,31
2/26/15,26
2/27/15,26
2/28/15,8
3/1/15,9
3/2/15,26
3/3/15,26
3/4/15,22
3/5/15,25
3/6/15,24
3/7/15,12
3/8/15,8
3/9/15,25
3/10/15,26
3/11/15,27
3/12/15,30
3/13/15,25
3/14/15,8
3/15/15,10
3/16/15,28
3/17/15,29
3/18/15,24
3/19/15,24
3/20/15,24
3/21/15,7
3/22/15,8
3/23/15,24
3/24/15,26
3/25/15,20
3/26/15,24
3/27/15,21
3/28/15,11
3/29/15,10
3/30/15,26
3/31/15,27
4/1/15,26
4/2/15,32
4/3/15,15
4/4/15,9
4/5/15,7
4/6/15,24
4/7/15,27
4/8/15,28
4/9/15,23
4/10/15,26
4/11/15,6
4/12/15,7
4/13/15,25
4/14/15,25
4/15/15,25
4/16/15,26
4/17/15,25
4/18/15,8
4/19/15,7
4/20/15,25
4/21/15,30
4/22/15,26
4/23/15,63
4/24/15,100
4/25/15,35
4/26/15,16
