Day,amazon
1/29/15,85
1/30/15,85
1/31/15,92
2/1/15,95
2/2/15,86
2/3/15,88
2/4/15,87
2/5/15,87
2/6/15,83
2/7/15,88
2/8/15,97
2/9/15,87
2/10/15,84
2/11/15,88
2/12/15,84
2/13/15,80
2/14/15,83
2/15/15,100
2/16/15,91
2/17/15,84
2/18/15,80
2/19/15,81
2/20/15,82
2/21/15,87
2/22/15,91
2/23/15,81
2/24/15,82
2/25/15,80
2/26/15,80
2/27/15,81
2/28/15,84
3/1/15,91
3/2/15,84
3/3/15,81
3/4/15,80
3/5/15,80
3/6/15,77
3/7/15,84
3/8/15,88
3/9/15,82
3/10/15,79
3/11/15,78
3/12/15,78
3/13/15,77
3/14/15,81
3/15/15,89
3/16/15,81
3/17/15,79
3/18/15,78
3/19/15,78
3/20/15,75
3/21/15,86
3/22/15,86
3/23/15,84
3/24/15,81
3/25/15,83
3/26/15,79
3/27/15,79
3/28/15,83
3/29/15,89
3/30/15,85
3/31/15,83
4/1/15,85
4/2/15,81
4/3/15,82
4/4/15,80
4/5/15,81
4/6/15,81
4/7/15,77
4/8/15,81
4/9/15,78
4/10/15,77
4/11/15,82
4/12/15,85
4/13/15,80
4/14/15,80
4/15/15,79
4/16/15,80
4/17/15,80
4/18/15,78
4/19/15,84
4/20/15,82
4/21/15,79
4/22/15,77
4/23/15,78
4/24/15,78
4/25/15,82
4/26/15,87
