Day,apple
1/29/15,47
1/30/15,47
1/31/15,48
2/1/15,47
2/2/15,45
2/3/15,45
2/4/15,45
2/5/15,44
2/6/15,44
2/7/15,46
2/8/15,47
2/9/15,44
2/10/15,44
2/11/15,45
2/12/15,43
2/13/15,44
2/14/15,45
2/15/15,46
2/16/15,45
2/17/15,45
2/18/15,44
2/19/15,42
2/20/15,44
2/21/15,46
2/22/15,46
2/23/15,45
2/24/15,44
2/25/15,43
2/26/15,44
2/27/15,43
2/28/15,46
3/1/15,47
3/2/15,47
3/3/15,44
3/4/15,43
3/5/15,43
3/6/15,45
3/7/15,47
3/8/15,47
3/9/15,100
3/10/15,99
3/11/15,82
3/12/15,67
3/13/15,60
3/14/15,61
3/15/15,58
3/16/15,54
3/17/15,51
3/18/15,50
3/19/15,48
3/20/15,47
3/21/15,51
3/22/15,50
3/23/15,47
3/24/15,46
3/25/15,43
3/26/15,43
3/27/15,44
3/28/15,47
3/29/15,49
3/30/15,46
3/31/15,46
4/1/15,45
4/2/15,47
4/3/15,48
4/4/15,47
4/5/15,48
4/6/15,47
4/7/15,47
4/8/15,49
4/9/15,53
4/10/15,68
4/11/15,57
4/12/15,53
4/13/15,52
4/14/15,49
4/15/15,46
4/16/15,47
4/17/15,47
4/18/15,48
4/19/15,49
4/20/15,48
4/21/15,48
4/22/15,46
4/23/15,49
4/24/15,58
4/25/15,58
4/26/15,56
