Day,google
1/29/15,99
1/30/15,99
1/31/15,94
2/1/15,90
2/2/15,93
2/3/15,96
2/4/15,97
2/5/15,97
2/6/15,96
2/7/15,92
2/8/15,93
2/9/15,96
2/10/15,97
2/11/15,98
2/12/15,95
2/13/15,92
2/14/15,91
2/15/15,91
2/16/15,89
2/17/15,92
2/18/15,99
2/19/15,92
2/20/15,93
2/21/15,91
2/22/15,89
2/23/15,98
2/24/15,97
2/25/15,97
2/26/15,97
2/27/15,96
2/28/15,93
3/1/15,91
3/2/15,96
3/3/15,95
3/4/15,98
3/5/15,98
3/6/15,93
3/7/15,93
3/8/15,92
3/9/15,98
3/10/15,96
3/11/15,97
3/12/15,96
3/13/15,93
3/14/15,91
3/15/15,92
3/16/15,94
3/17/15,96
3/18/15,96
3/19/15,94
3/20/15,93
3/21/15,91
3/22/15,92
3/23/15,97
3/24/15,98
3/25/15,89
3/26/15,93
3/27/15,94
3/28/15,90
3/29/15,90
3/30/15,92
3/31/15,95
4/1/15,100
4/2/15,94
4/3/15,90
4/4/15,87
4/5/15,86
4/6/15,90
4/7/15,91
4/8/15,94
4/9/15,95
4/10/15,92
4/11/15,91
4/12/15,87
4/13/15,95
4/14/15,98
4/15/15,97
4/16/15,96
4/17/15,94
4/18/15,88
4/19/15,88
4/20/15,96
4/21/15,98
4/22/15,99
4/23/15,97
4/24/15,96
4/25/15,88
4/26/15,90
