Day,microsoft
1/29/15,98
1/30/15,94
1/31/15,79
2/1/15,79
2/2/15,97
2/3/15,100
2/4/15,99
2/5/15,99
2/6/15,93
2/7/15,78
2/8/15,79
2/9/15,95
2/10/15,98
2/11/15,99
2/12/15,94
2/13/15,90
2/14/15,72
2/15/15,77
2/16/15,93
2/17/15,96
2/18/15,93
2/19/15,91
2/20/15,93
2/21/15,77
2/22/15,78
2/23/15,96
2/24/15,95
2/25/15,99
2/26/15,96
2/27/15,88
2/28/15,76
3/1/15,78
3/2/15,99
3/3/15,97
3/4/15,96
3/5/15,94
3/6/15,89
3/7/15,78
3/8/15,76
3/9/15,97
3/10/15,99
3/11/15,99
3/12/15,98
3/13/15,93
3/14/15,78
3/15/15,80
3/16/15,95
3/17/15,99
3/18/15,98
3/19/15,96
3/20/15,86
3/21/15,76
3/22/15,75
3/23/15,93
3/24/15,96
3/25/15,97
3/26/15,91
3/27/15,86
3/28/15,73
3/29/15,74
3/30/15,89
3/31/15,94
4/1/15,92
4/2/15,90
4/3/15,80
4/4/15,68
4/5/15,69
4/6/15,85
4/7/15,90
4/8/15,94
4/9/15,92
4/10/15,85
4/11/15,69
4/12/15,68
4/13/15,88
4/14/15,91
4/15/15,96
4/16/15,92
4/17/15,88
4/18/15,70
4/19/15,72
4/20/15,93
4/21/15,92
4/22/15,89
4/23/15,92
4/24/15,88
4/25/15,71
4/26/15,73
